S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
1,Aadavallu Meeku Johaarlu,Romance,20,71.42,51.72,5.8,9.5,7.72
2,Ala Modalaindi,Romance,4,66.6,65,7.6,0.97,15
3,Ammammagarillu,Romance,1.5,0,23,5.3,0.221,21.5
4,Anni Manchi Sakunamule,Romance,12,66.6,22.22,6.1,3.7,4.45
5,Appudo Ippudo Eppudo,Romance,15,75,55,4.7,3.5,0.7
6,Arya 2,Romance,21,80,52.63,7.5,58,25
7,Ashoka Vanamlo Arjuna Kalyanam,Romance,10,66.66,30,7.4,3.2,9
8,Baby,Romance,10,80,33.3,7.1,22,80
9,Chal Mohan Ranga,Romance,25,33.33,29,5.9,10,8.5
10,Chitralahari,Romance,25,71.42,56.25,7.1,5.8,26.05
11,Color Photo,Romance,1,100,60,8.1,5.9,2.62
12,Dear Comrade,Romance,5,100,46.15,7.3,18,37.33
13,Desamuduru,Romance,10,47.05,52.63,6.2,1.1,36
14,DJ Tillu,Romance,5,25,85.71,7.2,15,125
15,Endukante... Premanta,Romance,26,50,33,6,0.078,129
16,Hello Guru Prema Kosame,Romance,25,62.5,33,7.1,9.3,36
17,Hello!,Romance,14,55.55,40,7.3,13,17.82
18,Hi Nanna,Romance,70,100,65,8.2,2.8,74.57
19,Ishq,Romance,8,55.55,29,7.4,4.9,20
20,Kandireega,Romance,15,33.34,33,6.2,0.06,30
21,Kotha Bangaru Lokam,Romance,3.5,50,16,6.8,15,8
22,Kumari 21F,Romance,10.5,100,42.85,7.6,0.426,21
23,Majili,Romance,5,60,52,7.3,10,68.05
24,Majnu,Romance,1.7,100,65,6.4,0.016,2.18
25,Malli Malli Idi Rani Roju,Romance,15,50,51.72,7.4,0.07,26.2
26,Manmadhudu 2,Romance,30,50,80,4.8,8.4,1
27,Mehbooba,Romance,22,47.05,25,4.6,5.9,3
28,Miss You,Romance,12,33.33,44,6.2,1,3.41
29,Month of Madhu,Romance,1.5,80,55.55,6.8,3.3,2.5
30,Most Eligible Bachelor,Romance,30,100,40,6.2,0.755,50
31,Nenu Sailaja,Romance,20,71.42,33,6.9,1.2,35.64
32,Ninu Kori,Romance,25,60,65,7.5,8.3,55
33,Padi Padi Leche Manasu,Romance,12,60,46.2,6.4,6.6,8
34,Prema Vimanam,Romance,3.5,100,100,6.1,0.485,4.5
35,Prince,Romance,4,75,68.75,4.4,5.5,30
36,Radhe Shyam,Romance,200,20,45.45,5.2,42,140
37,Rarandoi Veduka Chudham,Romance,15,75,52,5.6,4.8,50
38,Saahasam Swaasaga Saagipo,Romance,25,77.27,52,6.6,1.1,3.9
39,Sammathame,Romance,5,0,33.3,5.6,6,4.79
40,Shyam Singha Roy,Romance,50,66.66,65,7.6,14,65
41,Sita Ramam,Romance,25,60,50,8.5,16,100
42,The Family Star,Romance,50,100,46.15,5.4,15,21.49
43,Tholi Prema,Romance,20,80,50,7.2,8.8,45
44,Uppena,Romance,14,100,50,6.5,31,105
45,Varudu Kaavalenu,Romance,8.6,30,50,6.4,5.4,6.1
46,Vinaro Bhagyamu Vishnu Katha,Romance,6.67,100,44.44,6.7,0.482,17.9
47,World Famous Lover,Romance,23,50,46.15,6.9,15,8.6
48,Yeto Vellipoyindhi Manasu,Romance,13,77.27,65,7.3,0.921,130
49,Retro,Romance,65,76.92,61.4,8,23,90
50,Arjun Reddy,Romance,5,100,46.15,7.9,56,51
51,Premalu,Romance,3,75,66.67,7.8,0.714,136.25
52,Choosi Choodangaane,Romance,30,50,40.17,6.3,0.084,11.78
53,Sapta Sagaradaache Ello: Side B,Romance,10,100,75,8,6.3,17.2
54,Atithi Devo Bhava,Romance,10,60,28.57,5.6,0.278,13.5
55,SR Kalyanamandapam,Romance,4.5,100,75,5.7,7.5,12.31
56,Manchi Rojulochaie,Romance,3,60,23,4.7,8.2,5
57,Shatamanam Bhavati,Romance,8,50,46.2,7,0.58,10.7
58,Srinivasa Kalyanam,Romance,6,50,65,6.1,6,12.9
59,Govindudu Andarivadele,Romance,30,51,57.14,5.7,0.2,70
60,Jaanu,Romance,21,33.33,46.2,7,9.1,8.54
61,Shaakuntalam,Romance,65,38,61,4.3,5.7,20
62,Bubblegum,Romance,1,60,20,6.2,3.8,0.115
63,Bommarillu,Romance,10,47,38,8.2,0.19,66.5
64,Raja Vaaru Rani Gaaru,Romance,1.3,66.66,75,7.4,4.9,2.2
65,Bachhala Malli,Romance,3.6,33.33,38.5,8.3,6.5,2
66,Ye Maaya Chesave,Romance,10,55,45,7.7,0.195,30
67,Krishna Gaadi Veera Prema Gaadha,Romance,14,60,65,7.4,0.897,23.3
68,18 Pages,Romance,16,66.7,33.33,7.1,13,25
69,Adbhutham,Romance,15,100,50,7.4,8.1,17.2
70,Heart Attack,Romance,15,63.6,65,5.3,0.973,40
71,Mere Husband Ki Biwi,Romance,30,33.33,26.7,4.4,23,11.7
72,Nadaaniyan,Romance,60,10,10,2.9,14,6
73,Rocky Aur Rani Kii Prem Kahaani,Romance,16,85.7,69.77,6.5,53,35.5
74,Kabir Singh,Romance,68,100,43,7,110,379.02
75,Sanam Teri Kasam,Romance,18,25,20,7.8,1.5,44.5
76,Dil Dhadakne Do,Romance,55,60,48,7,6.3,150
77,Dilwale,Romance,1.2,75,45,5.1,43,3.2
78,Dil Bechara,Romance,38,50,55.6,8.3,97,50
79,Do Aur Do Pyaar,Romance,40,25,68,6.4,17,4.63
80,Tu Jhoothi Main Makkaar,Romance,200,60,60,6,77,210
81,Haseen Dillruba,Romance,3.9,50,35,6.9,2.5,4.14
82,The Archies,Romance,45,60,10,4.2,3.2,22
83,Kho Gaye Hum Kahan,Romance,15,100,40,7.3,0.369,18
84,Zero,Romance,200,50,45,5.2,125,191.43
85,Wild Wild Punjab,Romance,16,60,36,6.2,34,72
86,Shubh Mangal Zyada Saavdhan,Romance,30,100,70,5.8,59,87
87,Gehraiyaan,Romance,80,66,50,5.8,45,140
88,Meenakshi Sundareshwar,Romance,4,50,60,6.7,8.6,1
89,Satyaprem Ki Katha,Romance,60,80,50,6.7,42,117.77
90,Dream Girl 2,Romance,35,67,70,5.2,43,140.56
91,Phir Aayi Hasseen Dillruba,Romance,82,100,35,5.8,36,458.69
92,Govinda Naam Mera,Romance,70,100,40,6.5,9.1,62
93,"Love, Sitara",Romance,7,50,20,5.3,0.231,8.5
94,Jug Jugg Jeeyo,Romance,85,66,72,6.1,45,85.03
95,Love Aaj Kal,Romance,50,50,50,4.7,50,52.6
96,Tiku Weds Sheru,Romance,4.5,20,70,3.4,23,3.4
97,Starfish,Romance,12,50,0,4.4,13,24
98,Love Hostel,Romance,20,25,60,5.7,1.4,10
99,Khaali Peeli,Romance,20,45,40,2.5,8,52.38
100,Janhit Mein Jaari,Romance,6,50,60,6.8,18,5.98
101,Hungama 2,Romance,20,24,60,3.2,4.7,147.68
102,Bunty Aur Babli 2,Romance,45,100,50,4.1,25,22.12
103,Plan A Plan B,Romance,8,50,60,4.6,22,10.17
104,Dhadak,Romance,41,100,55,4.6,20,95.12
105,Laila Majnu,Romance,1.7,50,50,7.7,19,2.18
106,Kalank,Romance,150,33.33,72,3.7,38,145
107,Housefull 4,Romance,189,75,52,3.6,126,197.68
108,Gully Boy,Romance,65,60,56.25,7.9,64,238.16
109,Student of the Year 2,Romance,80,85.7,45,2.2,75,98.16
110,Student of the Year,Romance,59,85.7,74.5,5.3,14,70
111,Luka Chuppi,Romance,25,100,50,6.4,69,75.24
112,Sonu Ke Titu Ki Sweety,Romance,25,60,50,7.1,41,156.46
113,Dream Girl ,Romance,28,67,70,5.2,50,200.8
114,De De Pyaar De,Romance,75,50,46,6.5,76,143
115,Pati Patni Aur Woh,Romance,30,33.33,50,5.8,58,117.7
116,The Zoya Factor,Romance,33,50,50,4.4,23,6.96
117,Bajirao Mastani,Romance,145,60,56.25,7.3,17,356.2
118,Qarib Qarib Single,Romance,8.2,0,50,7.1,15,16.33
119,Toilet: A Love Story,Romance,75,33.33,52,7.2,0.927,311.5
120,Dear Zindagi,Romance,30,100,83.3,7.4,6.4,120
121,Kapoor & Sons,Romance,35,66,60,7.7,16,120.01
122,Ae Dil Hai Mushkil,Romance,100,85.7,60,5.9,23,240
123,OK Jaanu,Romance,27,66,57.89,5.3,28,39.23
124,Jab Harry Met Sejal,Romance,80,50,45,5.1,14,147.76
125,Badrinath Ki Dulhania,Romance,47.5,100,72,6.1,39,194.81
126,Tamasha,Romance,87,50,60,7.4,1.2,136.63
127,Shaadi Mein Zaroor Aana,Romance,13,0,70,7.5,24,19.4
128,Baar Baar Dekho,Romance,53,20,60,5.4,0.313,43.4
129,Shubh Mangal Savdhan,Romance,17,100,70,6.9,18,72.36
130,Roy,Romance,40,0,60,3.2,10,20
131,Befikre,Romance,70,80,56.25,4.1,46,103.99
132,Half Girlfriend,Romance,50,75,26.7,4.7,41,97
133,Singh Is Bliing,Romance,9.1,75,52,5,5.3,12.5
134,Prem Ratan Dhan Payo,Romance,6,80,62.02,4.4,27,43
135,Kis Kisko Pyaar Karoon,Romance,15,75,36,5.6,7.6,7.2
136,Tanu Weds Manu Returns,Romance,39,50,70,7.6,12,255
137,Munna Michael,Romance,32,66,45,3.4,29,34.61
138,Meri Pyaari Bindu,Romance,22,0,70,6.1,2.7,17.7
139,Raabta,Romance,45,80,55.6,4.8,45,39
140,Shaandaar,Romance,60,60,43,3.7,15,75
141,Three of Us,Romance,0.2,50,50,7.5,3.6,0.3
142,Auron Mein Kahan Dum Tha,Romance,10,57,46,6.5,66,12.91
143,Tara vs Bilal,Romance,20,30,20,5.9,9.2,12
144,Teri Baaton Mein Aisa Uljha Jiya,Romance,10,100,43,6.2,61,13.3
145,Atrangi re,Romance,12,50,60,6.5,8.3,20
146,RRR,Action,550,100,54.43,7.8,85,1200
147,Baahubali: The Beginning,Action,180,100,45.45,8,29,650
148,Adipurush,Action,700,50,42.725,2.7,30,388.35
149,Baahubali: The Conclusion,Action,250,100,45.45,8.2,66,1788.06
150,Pushpa: The Rise - Part 1,Action,225,77.78,52.63,7.6,74,393.5
151,Salaar,Action,270,100,45.45,6.6,53,700
152,Kalki 2898 AD,Action,600,100,45.45,7,31,1054.67
153,Pushpa: The Rule - Part 2,Action,450,77.78,52.63,6.1,113,1740
154,1: Nenokkadine,Action,65,77.78,75,8,0.699,30.79
155,Game Changer,Action,450,76.92,57.14,5.5,58,178
156,Daaku Maharaj,Action,100,80,60,6,18,133
157,Devara part 1,Action,300,83.33,51.72,6,49,403.83
158,Hanu Man,Action,40,75,60,7.7,25,294.18
159,Saripodhaa Sanivaaram,Action,90,100,65,7,22,100.03
160,Razakar: The Silent Genocide of Hyderabad,Action,10,100,12.5,7.4,1.6,0.93
161,Janatha Garage,Action,50,83.33,51.72,7.2,7.7,130.35
162,Bhagavanth Kesari,Action,100,100,60,5.8,25,135
163,Zebra,Action,10,50,45,8,3.1,6.2
164,Godfather,Action,120,90,65,5.1,20,119.09
165,Magadheera,Action,40,100,57.14,7.7,0.7,150
166,Virata Parvam,Action,15,50,50.5,6.7,10,12
167,Macherla Niyojakavargam,Action,30,0,29,4.5,23,16.65
168,Gandeevadhari Arjuna,Action,46,14.29,33,5.4,10,3
169,Indra,Action,8,75,60,7.5,0.189,53
170,The Ghost,Action,6,14.29,65,5.1,12,12.17
171,Krishnarjuna Yudham,Action,20,40,65,5.8,6.9,14.8
172,Simhadri,Action,8.5,100,51.72,7.3,0.68,30
173,Raja the great,Action,30,100,52.5,6.3,7.1,52
174,Aditya 369,Action,1.52,75,60,8.4,0.017,9
175,Oosaravelli,Action,25,60,51.72,6.5,0.082,57
176,Rachcha,Action,50,60,57.14,4.5,0.433,44.78
177,Bhaje Vaayu Vegam,Action,15,100,30,6.1,6.1,7.2
178,Parugu,Action,1.15,50,52.63,7.1,0.042,20
179,Khaidi No. 150,Action,50,70.6,65,5.8,10,164
180,Panjaa,Action,33,55.6,55,6.5,0.324,50
181,Dasara,Action,65,100,65,6.6,15,62.99
182,Bhadra,Action,6,60,52.5,6.8,0.041,21
183,"Naa Peru Surya, Naa Illu India",Action,55,43,52.63,6.7,12,85
184,Vinaya Vidheya Rama,Action,70,60,57.14,3.3,38,62.6
185,Touch Chesi Chudu,Action,15,0,52.5,4.7,4.7,19
186,Legend,Action,40,60,60,6.2,3.3,88
187,Veera Simha Reddy,Action,100,71,60,4.8,25,134
188,Acharya,Action,140,83,61.07,3.8,38,76.7
189,Rebel,Action,40,72,42.725,4.9,0.29,104
190,Don,Action,16.85,86,65,5.8,2.6,20
191,Marco,Action,30,100,60,6.8,12.3,100
192,Arjun S/O Vijayanthi,Action,100,100,25,6.1,12.3,15
193,Major,Action,32,100,80,8.1,14,64
194,Jack,Action,80,0,66.7,5.6,2.3,78
195,Liger,Action,90,61.1,50,2.6,50,20.05
196,Skanda,Action,50,50,33,4.2,50,57.5
197,Ugram,Action,15,50,76,6.5,7.5,45
198,Saindhav,Action,80,66,57,5.1,8.2,18.4
199,Pottel,Action,7.5,0,70,8.1,2.3,15
200,Warrior,Action,70,50,33,4.8,18,313.2
201,Tuck Jagadish,Action,5,66,65,5.6,3.5,45
202,Zombie reddy,Action,4,66,60,6.6,4.5,25
203,Rama rao on duty,Action,55,0,52.5,5.1,10,35
204,Bheemla nayak,Action,75,50,51,6.3,11.8,192
205,Buddy,Action,25,50,28,3.8,20,20
206,Gandharva dhaari arjuna,Action,50,50,87.5,5.4,10,18
207,krack,Action,35,66,52.5,6.9,5,70.6
208,Dhamaka ,Action,35,66,52.5,6.2,6,110
209,Wild dog,Action,6,0,65,6.1,10,35
210,Aadhikeshava,Action,20,0,27.5,4.2,7.96,0.02
211,Bhimbisara,Action,40,100,25,6.8,29,50
212,Double ismart,Action,47.5,50,33,2.9,1.5,1.15
213,Seetimaar,Action,25,50,55,5,10,15.1
214,Devil,Action,45,0,25,6.5,16,20
215,Ravanasura,Action,50,50,52.5,5.7,10,24
216,Disco raja,Action,30,50,52.5,6.1,6.9,26
217,Republic,Action,40,50,44,7.8,14,40
218,Michael,Action,14.5,50,60,5,12,12
219,Son of india,Action,400,0,64,3.2,2.1,0.17
220,Operation valentine,Action,45,0,87.5,4.3,7.2,20
221,Saaho,Action,325,50,45.45,5.1,58,429
222,Goodachari,Action,6,100,80,8.5,3.5,45
223,V,Action,25,60,65,6.8,10,50
224,Wailtar veerayaa,Action,140,50,65,6.2,2.7,25
225,Dhruva,Action,50,66,57.14,7.7,5,120
226,Ganga of godavari,Action,11,50,53.3,5,7.8,20.8
227,Na saami ranga,Action,45,0,65,4.5,6.7,30.5
228,Sye ra narashima reddy,Action,200,50,65,7.5,12,240
229,Savyasachi,Action,24,50,65.4,4.1,3,60
230,Chhaava,Action,130,100,40,7.3,78,750
231,Deva,Action,50,0,43,6.7,37,30
232,Dangal,Action,70,100,85,8.3,100,1996
233,Animal,Action,100,100,70,6.1,113,550
234,Kesari,Action,80,100,75,7.4,10,65.45
235,Hotel Mumbai,Action,1.73,100,60,7.6,5,2.13
236,Gangs of Wasseypur,Action,18.4,75,85,8.2,5,4.3
237,Fighter,Action,250,100,80,6.2,45,344
238,Baby John,Action,160,100,72,5.2,71,180
239,Jawan,Action,300,100,90,6.9,45,"1,159"
240,Shershaah,Action,75,100,60,8.3,10,100
241,Jigra,Action,85,0,83.3,6,57,15
242,Dunki,Action,120,100,90,6.5,80,470.6
243,Haider,Action,35,100,80,8,3,85
244,Sikandar Ka Muqaddar,Action,1,75,75,6,47,17
245,Pathaan,Action,250,100,90,5.8,10,"1,052.50"
246,Uri: The Surgical Strike,Action,44,100,80,8.2,13,342.73
247,Article 370,Action,20,50,72.5,7.8,32,8
248,Brahmastra Part One: Shiva,Action,410,100,70,5.6,10,430.77
249,Shehzada,Action,85,50,60,4.5,75,47
250,War,Action,170,100,80,6.6,10,475
251,Tiger 3,Action,300,75,85,5.7,82,466.63
252,Tiger Zinda Hai,Action,130,100,85,5.9,29,565
253,Bade Miyan Chote Miyan,Action,350,100,75,3.7,55,28.84
254,Ek Tha Tiger,Action,75,100,85,5.7,5,320
255,Bang Bang,Action,140,100,80,5.7,0.176,340
256,Ram Setu,Action,150,50,75,5.3,42,185
257,Baadshaho,Action,90,50,80,4.9,20,150
258,Dhoom 2,Action,3.5,100,80,6.6,2.6,370
259,Dhoom 3,Action,100,75,85,5.4,37,550
260,Yodha,Action,55,75,60,5.7,38,85
261,Kisi Ka Bhai Kisi Ki Jaan,Action,125,50,85,4,57,185
262,A Flying Jatt,Action,45,50,50,3.1,41,75
263,Shamshera,Action,150,50,70,4.7,108,85
264,Sherni,Action,0.25,100,80,6.8,21,25
265,Junglee,Action,22,50,60,5.5,44,100
266,Housefull 2,Action,75,75,75,5.4,2.7,200
267,Khufiya,Action,37.5,100,82.5,6.1,41,10
268,Chandu Champion,Action,105,100,60,7.8,47,5
269,Raazi,Action,30,100,90,7.7,33,197
270,Happy New Year,Action,150,75,80,5,9.7,342
271,Agni,Action,40,50,82.5,7.2,15,50
272,An Action Hero,Action,45,50,80,7,29,16.24
273,Ludo,Action,35,100,75,7.6,9.4,100
